prov,head_sex,head_popgrp,head_age,hholdsz,mobphon_hh,wat_mun_source,lab_salary_hh,totalgrnt_hh,geotype,metro,quarter
Western Cape,Male,Coloured,80,2,2,No,9475,0,Farms,Non-metro,3
Western Cape,Male,Coloured,51,1,0,No,2008,0,Farms,Non-metro,3
Western Cape,Male,African/Black,25,2,1,No,6926,0,Farms,Non-metro,3
Western Cape,Male,Coloured,51,4,2,No,5005,1200,Farms,Non-metro,3
Western Cape,Male,Coloured,57,5,3,Yes,48080,480,Urban,Non-metro,4
Western Cape,Male,White,33,2,2,Yes,43166,0,Urban,Non-metro,4
Western Cape,Male,White,72,2,0,No,0,0,Urban,Non-metro,4
Western Cape,Male,White,48,2,2,Yes,18950,0,Urban,Non-metro,4
Western Cape,Female,White,68,4,4,Yes,48287,0,Urban,Non-metro,4
Western Cape,Male,Coloured,42,3,3,No,28541,0,Urban,Non-metro,3
Western Cape,Male,Coloured,29,3,2,Yes,3257,1990,Urban,Non-metro,3
Western Cape,Female,Coloured,30,3,1,Yes,0,480,Urban,Non-metro,3
Western Cape,Male,Coloured,37,3,2,Yes,9475,480,Urban,Non-metro,3
Western Cape,Female,Coloured,51,2,2,Yes,0,1990,Urban,Non-metro,3
Western Cape,Female,Coloured,54,3,0,Yes,0,2140,Urban,Non-metro,3
Western Cape,Male,White,43,3,3,No,0,0,Farms,Non-metro,3
Western Cape,Male,White,55,3,2,No,34935,0,Farms,Non-metro,3
Western Cape,Male,Coloured,71,2,1,Yes,0,4000,Urban,Non-metro,1
Western Cape,Female,Coloured,69,1,1,Yes,0,1990,Urban,Non-metro,1
Western Cape,Female,Coloured,37,3,2,Yes,2997,1990,Urban,Non-metro,1
Western Cape,Male,Coloured,46,5,4,No,26704,0,Farms,Non-metro,2
Western Cape,Female,Coloured,40,2,1,No,5600,480,Farms,Non-metro,2
Western Cape,Male,African/Black,27,1,1,Yes,3000,0,Urban,Non-metro,2
Western Cape,Male,African/Black,55,1,1,Yes,1249,0,Urban,Non-metro,2
Western Cape,Female,African/Black,23,3,2,No,4000,0,Urban,Non-metro,2
Western Cape,Male,African/Black,44,1,1,Yes,3600,0,Urban,Non-metro,2
Western Cape,Male,African/Black,29,1,0,Yes,2997,0,Urban,Non-metro,2
