"drawNumber","drawDate","nextDrawDate","ball1","ball2","ball3","ball4","ball5","div1Winners","div1Payout","div2Winners","div2Payout","div3Winners","div3Payout","div4Winners","div4Payout","totalPrizePool","totalSales","estimatedJackpot","guaranteedJackpot","numWinners","millionairs"
1,2019-03-10,2019-03-11,1,7,11,18,34,0,0,57,2006.2,1684,17,15348,4.5,212047.4,350145,0,0,17089,0
2,2019-03-11,2019-03-12,7,10,19,24,32,0,0,157,1161.3,3741,18.3,34511,4.8,416437.2,832551,0,0,38409,0
3,2019-03-12,2019-03-13,11,16,17,29,32,1,215993.9,136,365.9,4491,22.1,46656,5.2,607618.6,1213449,0,0,51284,1
4,2019-03-13,2019-03-14,4,10,16,21,35,0,0,249,1286.9,6008,20,56737,5.1,729956.8,1463226,0,0,62994,0
5,2019-03-14,2019-03-15,1,5,9,26,32,0,0,193,1690.1,5704,21.4,56030,5.3,745213.9,1489413,0,0,61927,0
6,2019-03-15,2019-03-16,9,10,12,25,27,1,304101.3,176,398,5560,25.2,65980,5.2,857357.3,1708434,0,0,71717,1
7,2019-03-16,2019-03-17,2,5,16,18,19,0,0,203,1584.7,5795,20.8,60879,4.8,734449.3,1468905,0,0,66877,0
8,2019-03-17,2019-03-18,5,9,15,21,36,2,62422.5,105,273.8,3183,18,29187,4.7,348066.9,701376,0,0,32477,2
9,2019-03-18,2019-03-19,1,18,29,33,36,1,263186.1,209,290,6082,20,58917,5,740021.1,1478574,0,0,65209,1
10,2019-03-19,2019-03-20,7,9,11,19,26,3,126666.7,394,184.3,10092,14.4,79528,4.4,947862.3,1771299,0,0,90017,3
11,2019-03-20,2019-03-21,2,16,19,29,33,3,106180,243,302,7451,19.7,70897,5.1,900285.4,1789551,0,0,78594,3
12,2019-03-21,2019-03-22,2,7,10,14,23,2,126834.6,181,322.8,5723,20.4,55612,5,706905.2,1425108,0,0,61518,2
13,2019-03-22,2019-03-23,9,12,17,33,35,2,180847.6,260,320.5,8361,19.9,84367,4.8,1016370.7,2031996,0,0,92990,2
14,2019-03-23,2019-03-24,3,7,10,13,17,3,106116.7,380,192.9,8828,16.6,76982,4.6,892314.1,1788483,0,0,86193,3
15,2019-03-24,2019-03-25,1,21,24,28,29,0,0,70,2940.8,3108,24.8,34004,5.6,473356.8,939903,0,0,37182,0
